01/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 236897
02/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 548031
03/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 211635
04/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 487239
05/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 240827
06/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 882637
07/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 285777
08/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 1011763
09/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 291121
10/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 206881
11/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 430707
12/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 256797
13/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 451899
14/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 264937
15/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 292651
16/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 502553
17/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 315415
18/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 249039
19/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 242505
20/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 297761
21/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 287775
22/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 183339
23/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 349177
24/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 250317
25/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 284347
26/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 275211
27/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 533237
28/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 281941
29/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 663535
30/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 492139
31/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 290343
32/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 790453
33/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 271071
34/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 315057
35/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 215313
36/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 283297
37/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 206257
38/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 1107593
39/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 381553
40/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 355895
41/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 634137
42/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 177049
43/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 179915
44/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 287771
45/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 242475
46/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 221041
47/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 277353
48/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 487003
49/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 554537
50/astral_3_v5.7.7_estimatedgenetre_1000.log:Number of Clusters after addition by greedy: 241651
